"blind_id","detection_status"
"blind_001047","missed"
"blind_001048","missed"
"blind_001049","missed"
"blind_001050","missed"
"blind_001051","found"
"blind_001052","missed"
"blind_001053","missed"
"blind_001054","found"
"blind_001055","missed"
"blind_001056","missed"
"blind_001057","missed"
"blind_001058","found"
"blind_001059","missed"
"blind_001060","missed"
"blind_001061","missed"
"blind_001062","missed"
"blind_001063","found"
"blind_001064","missed"
"blind_001065","found"
"blind_001066","missed"
"blind_001067","missed"
"blind_001068","missed"
"blind_001069","missed"
"blind_001070","missed"
"blind_001071","missed"
"blind_001072","missed"
"blind_001073","missed"
"blind_001074","missed"
"blind_001075","missed"
"blind_001076","found"
"blind_001077","missed"
"blind_001078","found"
"blind_001079","missed"
"blind_001080","missed"
"blind_001081","missed"
"blind_001082","found"
"blind_001083","found"
"blind_001084","missed"
"blind_001085","found"
"blind_001086","found"
"blind_001087","missed"
"blind_001088","missed"
"blind_001089","missed"
"blind_001090","missed"
"blind_001091","missed"
"blind_001092","missed"
"blind_001093","missed"
"blind_001094","missed"
"blind_001095","missed"
"blind_001096","missed"
"blind_001097","missed"
"blind_001098","missed"
"blind_001099","missed"
"blind_001100","missed"
"blind_001101","found"
"blind_001102","found"
"blind_001103","found"
"blind_001104","missed"
"blind_001105","missed"
"blind_001106","found"
"blind_001107","missed"
"blind_001108","missed"
"blind_001109","missed"
"blind_001110","missed"
"blind_001111","found"
"blind_001112","found"
"blind_001113","found"
"blind_001114","found"
"blind_001115","found"
"blind_001116","found"
"blind_001117","missed"
"blind_001118","found"
"blind_001119","found"
"blind_001120","missed"
"blind_001121","found"
"blind_001122","found"
"blind_001123","found"
"blind_001124","missed"
"blind_001125","missed"
"blind_001126","found"
"blind_001127","missed"
"blind_001128","found"
"blind_001129","found"
"blind_001130","found"
"blind_001131","missed"
"blind_001132","missed"
"blind_001133","found"
"blind_001134","missed"
"blind_001135","found"
"blind_001136","missed"
"blind_001137","found"
"blind_001138","missed"
"blind_001139","found"
"blind_001140","missed"
"blind_001141","found"
"blind_001142","missed"
"blind_001143","missed"
"blind_001144","found"
"blind_001145","missed"
"blind_001146","missed"
"blind_001147","missed"
"blind_001148","found"
"blind_001149","found"
"blind_001150","found"
"blind_001151","missed"
"blind_001152","missed"
"blind_001153","missed"
"blind_001154","missed"
"blind_001155","missed"
"blind_001156","missed"
"blind_001157","missed"
"blind_001158","missed"
"blind_001159","missed"
"blind_001160","missed"
"blind_001161","missed"
"blind_001162","missed"
"blind_001163","missed"
"blind_001164","found"
"blind_001165","missed"
"blind_001166","missed"
"blind_001167","found"
"blind_001168","missed"
"blind_001169","missed"
"blind_001170","missed"
"blind_001171","missed"
"blind_001172","found"
"blind_001173","found"
"blind_001174","found"
"blind_001175","missed"
"blind_001176","missed"
"blind_001177","missed"
"blind_001178","missed"
"blind_001179","missed"
"blind_001180","missed"
"blind_001181","missed"
"blind_001182","missed"
"blind_001183","missed"
"blind_001184","missed"
"blind_001185","missed"
"blind_001186","missed"
"blind_001187","found"
"blind_001188","found"
"blind_001189","found"
"blind_001190","missed"
"blind_001191","found"
"blind_001192","missed"
"blind_001193","missed"
"blind_001194","found"
"blind_001195","found"
"blind_001196","found"
"blind_001197","missed"
"blind_001198","missed"
"blind_001199","missed"
"blind_001200","missed"
"blind_001201","missed"
"blind_001202","missed"
"blind_001203","missed"
"blind_001204","missed"
"blind_001205","missed"
"blind_001206","missed"
"blind_001207","missed"
"blind_001208","missed"
"blind_001209","missed"
"blind_001210","missed"
"blind_001211","missed"
"blind_001212","missed"
"blind_001213","missed"
"blind_001214","missed"
"blind_001215","missed"
"blind_001216","missed"
"blind_001217","missed"
"blind_001218","missed"
"blind_001219","missed"
"blind_001220","missed"
"blind_001221","missed"
"blind_001222","missed"
"blind_001223","missed"
"blind_001224","missed"
